id,userId,pizza_id,rating
111,1,9275,4
343,1,4055,4
575,1,9623,4
807,1,10667,5
1039,1,7883,5
1271,1,2779,3
1503,1,#REF!,5
1851,1,10667,4
2315,1,7187,5
2663,1,12059,5
2779,1,2315,5
3127,1,807,5
3707,1,6027,3
4055,1,11363,5
4403,1,5099,4
4751,1,2315,5
5099,1,1039,3
5331,1,7535,3
5563,1,3707,5
5679,2,2315,3
5795,2,12059,4
6027,2,6491,4.5
6143,2,5563,4
6491,2,5795,4
6839,2,7883,3.5
7187,2,10667,4
7535,2,#REF!,4
7883,2,4751,4.5
8231,2,5563,5
8347,2,2663,4.5
9275,2,807,3
9623,2,12059,4
9971,2,2779,3
10319,2,5563,4
10667,2,575,4.5
11015,2,7535,5
11363,2,4055,4
11711,2,3707,5
12059,2,8231,3.5
12407,3,4751,0.5
12755,3,8347,0.5
,3,12407,0.5
,3,3707,0.5
,3,5795,0.5
,3,4751,5
,3,11363,0.5
,3,8347,0.5
,3,12059,0.5
,3,9275,0.5
,3,575,0.5
,3,4055,3.5
,3,2315,0.5
,3,5331,3
,3,8231,4.5
,3,12755,0.5
,3,6491,0.5
,3,6839,0.5
,3,575,2
,3,3127,4
,4,1503,3
,4,6027,2
,4,2779,3
,4,11711,2
,4,1039,3
,4,4751,3
,4,6839,4
,4,5331,5
,4,575,1
,4,5563,5
,4,12059,3
,4,6027,5
,4,4403,2
,4,6491,5
,4,#REF!,1
,4,4751,5
,4,1503,2
,4,6839,3
,4,2663,5
,4,2779,5
,5,6027,4
,5,7883,4
,5,2663,4
,5,9971,4
,5,4751,3
,5,10667,4
,5,7883,5
,5,6143,4
,5,6027,3
,5,9971,3
,5,5331,4
,5,1039,5
,5,11015,3
,5,7883,4
,5,9275,3
,5,6027,1
,5,#REF!,5
,5,2663,5
,5,8347,3
,5,12059,2
,5,2663,3
,5,2315,3
,5,11015,3
,5,6027,2
,5,8347,3
,5,8231,4
,5,575,2
,5,10667,3
,5,3707,4
,5,807,4
,5,4055,5
,5,11363,3
,5,4751,5
,5,2315,4
,5,#REF!,3
,5,4751,4
,5,1039,3
,5,1851,5
,5,4751,3
,5,3127,5
,5,11363,5
,5,12407,5
,5,10319,3
,5,3127,3
,6,1851,4
,6,7187,5
,6,12755,3
,6,1039,5
,6,2315,4
,6,,4
,6,5563,3
,6,5331,3
,6,11015,4
,6,2779,3
,6,10319,4
,6,6839,4
,6,3707,4
,6,1271,2
,6,2663,2
,6,8231,5
,6,4403,4
